Keyword,URL,Likes,Comments,Type,Caption,Views,Language,Posted Date,Theme,Tone,CTA Present,Paid,Color,Music,Followers
Jewellery,https://www.instagram.com/p/DPvoDRyCpkZ/,291000,808,Image,"All available Festive Jhumkas🌷
.
Limited stock♥️
.
Dm us for mre enquiries and bookings or whatsapp us at 7208747240..✨


[ Jhumkas, colourful Jhumkas, silver jhumkas, oxidised jhumkas , oxidised earrings, stone work earrings, silver jewellery, oxidised jewellery, jhumka collection, Jewellery haul ]
.

.
.
#MonalisaStoneWork
#Stoneworkearrings #oxidisedjewellery #germansilverjewellery #silverlookalikejhumkas #DiwaliEarrings #jhumkaswag #jhumkalove #germansilverjhumka #silverjhumka #stonejhumkas #Stoneearrings #NavratriLook #DiwaliVibes #diwaliJewellery #earringslove #FestiveJhumkas #latesttrend #silverneckpiece #silvernecklace #ghungroochoker #Diwali2025 #silverghungroochoker #silverchoker #jumbojhumka #stoneworknecklace #mirrorearrings #mirrorjhumkas #jumbojhumka #candiescollection #DeepavaliCollection2025",,English,2025-10-13,Festival,"Affordable,Playful",TRUE,TRUE,Vibrant,Null,122000
Jewellery,https://www.instagram.com/p/DP3K28jE6mY/,25800,5617,Reel,"Comment for links🪔✨

.
.
.
.
.
.
.
#reels #reelsinstagram #jhumka #earrings #ethnicearrings #ledearrings #diwaliearrings #earringshaul #jhumkis #jhumke #reelsexplore #amazonfinds #amazonhaul #affordable #jewellery #desi #indianjewellery #fyp #trending #explorepage

[ reels , earrings finds , earrings for diwali , haul , amazon haul , ethnic earrings , small jhumke , diwali finds , jhumkis , jhumka , led light earrings , ethnic earrings finds , jewellery haul , indian jewellery haul , jewellery for ethnic wear , desi core , viral , jewellery finds , explore page , festive wear , affordable ]",1000000,English,2025-10-16,Festival,Playful,TRUE,TRUE,Vibrant,Bollywood,223000
Jewellery,https://www.instagram.com/p/DOlbaUGk8Yg/,2530,38,Reel,"Inspired by ancestors, made for the moment. This statement Kasu Haaram is bold and beautiful. Some jewellery isn’t just adornment, it’s identity.

#suhasjewellers #suhasjewellerskhammam #goldjewellery #slsjkhammam #southindianjewellery
",192000,English,2025-09-14,"Traditional,Luxury","Heritage,Luxury",FALSE,FALSE,Warm,Regional,53900
Jewellery,https://www.instagram.com/p/DOn-gQbkuhe/,68000,516,Carousel,"Order now- 9166293938

Pure silver 92.5 Chain pendant ✅

-92.5 hallmark silver
- free delivery all over india
- cash on delivery available 😍

Dm/WhatsApp to Order
📲 9166293938
#silver #jewellery #silverjewelry #jewelry #sterlingsilver #earrings #indianjewellery #925silver #sterlingsilver #rosegoldjewelry #925SilverChainPendant #925Pendant #925Earrings #sterlingsilver #Pendant #SilverChain #SilverPendant #SilverChainPendant #valentinegift #vone #vonejewellery #ChainPendant #Chain",,English,2025-09-15,Minimal,Modern,TRUE,TRUE,Warm,Null,61300
Jewellery,https://www.instagram.com/p/DKCU4qlBP04/,6989,240,Reel,"Product details :

Minimal Lotus Green Necklace Set
Product codes are 3390 & 3391
Price ₹599

Comment to get the product link sent directly to your DM 🎁

How to Make a Purchase:
1. Visit our website at www.sulliejewels.com and search using the product code OR
2. Send us a direct message on Instagram OR
3. Message us via WhatsApp at +91 80957 78479.

#jewellery #necklace #earrings #jewels",404000,English,2025-05-24,Traditional,Affordable,TRUE,TRUE,Warm,Regional,21500
Jewellery,https://www.instagram.com/p/DOYU13UE5vy/,76000,311,Reel,"Order now 6376209168 WhatsApp screenshot send
All details available in WhatsApp
✅92.5 pure silver
✅silver certification + gst bill
✅All india Shipping available
✅7 days exchange policy available
🙏Order Now Before Sold Out !!
👉Check Out Instagram Stories
#jewellery #ring #kada #payal
#manglsutra #bracelet #kadapayal #earring #nosepin #nacelles #bangles #toering",3000000,English,2025-09-09,Minimal,Playful,TRUE,TRUE,Cool,Bollywood,132000
Jewellery,https://www.instagram.com/p/DD1isdbynKW/,28500,1663,Reel,"Ready to turn heads? 💫

Heavy on details, light on feel — Statement Earchains / Kaan Chains that are anything but ordinary! ✨

Buy a jewellery set and get FLAT 50% off on Earchains 🤭

From shimmering mirrors to sparkling semi-precious stones, every piece is intricately hand-embroidered to elevate your look 🌟

🛒 Shop our Earchains at www.tonoto.in

#JhilmilCollection #ShaadiEdit #BridalJewellery #HaldiJewellery #MehendiJewellery #Tonoto",2300000,English,2024-12-21,Bridal,Luxury,TRUE,TRUE,Warm,Bollywood,138000
Jewellery,https://www.instagram.com/p/DPgZDPRkutW/,1600,6,Carousel,"Sharing Beautiful G Earrings With You ❤️

Price ₹599 each pair
Swipe left for individual pictures

DM or WhatsApp us for order
WhatsApp link given in bio
We deliver Worldwide 🌎

(Festive Season, Andaaz, Shaadi Jewelry, Bridal Jewellery, Bridesmaidsgifts, Wedding Gifts, Haldi Earrings, Mehndi Jewellery, Smallbusiness, Worldwide shipping)",,English,2025-10-07,Bridal,Affordable,TRUE,FALSE,Warm,Null,116000
Jewellery,https://www.instagram.com/reel/DKeeotiTJAD/?hl=en,74,31,Reel,"Comment “new” to get website 🔗 with discount coupon ✨

StainlessSteel Jewels | Antitarnish Jewels | Antitarnish jewellery | StainlessSteel Jewellery 

#its_about_her",6200,English,2025-06-04,Contemporary,Affordable,TRUE,FALSE,Vibrant,Western,11600
Jewellery,https://www.instagram.com/p/DPajlalDCId/?hl=en,4239,135,Image,"Celebrate the spirit of Karwa Chauth with this exquisite Mangalsutra by Rajwadi Jewellers, a symbol of love, strength, and timeless beauty.
The geometric pendant with intricate lattice design and delicate golden drops captures the essence of tradition, while the dual-strand chain adorned with black and gold beads adds a touch of modern grace.

A masterpiece of craftsmanship, crafted to shine as bright as your bond this Karwa Chauth. 💛

📍Rajwadi Jewellers, Valsad
Design No-MSS22/1749
#RajwadiJewellers #goldjewellery #jewellery #mangalsutra #karwachauth #goldmangalsutra #sacredbond #mangalsutracollection",,English,2025-10-05,Traditional,Luxury,FALSE,FALSE,Warm,Null,5619
